Id,OwnerId,Name,Age,Sex,Species,Breed,Color,Weight,CreatedAt,ImageUrl
fec05649-2a54-4021-906a-64a1f5c46f12,676e94c4-aabf-4f26-b2b0-a02ab66756f0,Charlie,3,female,Dog,German Shepherd,Black and Tan,30kg,2024-10-19 18:41:19.127770,
55383911-ecee-488d-b75e-207360263d23,351ff156-897a-47b7-a66a-e5c8f70a0ac4,Molly,9,male,Turtle,Red-Eared Slider,Green,1.5kg,2024-10-19 18:41:19.128428,
d9561ca5-aaab-4682-957d-682d694aa52a,d8e6c4b8-4d0c-4c2a-b1e3-0dd11357520f,Lucy,19,male,Snake,Ball Python,Brown and Black,1.2kg,2024-10-19 18:41:19.129376,
fb4cf4e3-811e-4193-a633-e15de0ba6476,2b0f112c-d369-4080-920a-076ffefadae9,Daisy,14,female,Rabbit,Holland Lop,White and Brown,1.8kg,2024-10-19 18:41:19.130295,
9836ba1f-10bc-4d53-b5e3-5b3fcffc00c5,2b0f112c-d369-4080-920a-076ffefadae9,Max,15,male,Hamster,Syrian Hamster,Golden,150g,2024-10-19 18:41:19.131181,
253445be-3ab3-4e7c-b8cf-b89fa23aacca,676e94c4-aabf-4f26-b2b0-a02ab66756f0,Buddy,9,female,Bird,Cockatiel,Grey and Yellow,100g,2024-10-19 18:41:19.132062,
a63dad44-6a81-425a-bb1f-132c03d300a0,b8e3251f-38e0-4d4c-a49d-9d8667a8b7e6,Charlie,9,male,Frog,African Bullfrog,Green,1kg,2024-10-19 18:41:19.132945,
fd1e54ad-4e18-49e4-9e0a-be4f5dd94559,676e94c4-aabf-4f26-b2b0-a02ab66756f0,Molly,7,female,Frog,African Bullfrog,Green,0.8kg,2024-10-19 18:41:19.133815,
4cf7516a-0742-4b06-8fb4-da6d98d91782,71c12cbd-d14c-437d-af02-72d954425441,Molly,5,female,Hamster,Syrian Hamster,Grey,120g,2024-10-19 18:41:19.134683,
da88116c-8267-48c2-8afc-ccc3b12cb097,f8d4e6a4-312e-4e3f-9c62-aaabff93d59d,Bailey,11,female,Rabbit,Holland Lop,White and Brown,2kg,2024-10-19 18:41:19.135560,
